experiment_name,window_days,use_smote,threshold,feature_count,precision_class_1,recall_class_1,f1_class_1,scale_pos_weight
sin_temporales,3,True,0.5,10,0.48808418446301455,0.32415210688591983,0.38957509881422925,1.0
baseline_original,3,True,0.5,13,0.5393966681674921,0.2462487153134635,0.3381315269545583,1.0
sin_stats_bus,3,True,0.5,8,0.49911894273127755,0.2328879753340185,0.3175893482831114,1.0
solo_historial_y_tiempo,3,True,0.5,8,0.49911894273127755,0.2328879753340185,0.3175893482831114,1.0
sin_stats_bus,5,True,0.5,8,0.5805946791862285,0.6139611854972168,0.5968119333138344,1.0
solo_historial_y_tiempo,5,True,0.5,8,0.5805946791862285,0.6139611854972168,0.5968119333138344,1.0
baseline_original,5,True,0.5,13,0.6134333120612636,0.5784564465172258,0.5954316686024003,1.0
sin_temporales,5,True,0.5,10,0.5926384163315805,0.5765006769971416,0.5844581712804088,1.0
sin_stats_bus,7,True,0.5,8,0.6597484919742358,0.7924597814073437,0.7200401696049988,1.0
solo_historial_y_tiempo,7,True,0.5,8,0.6597484919742358,0.7924597814073437,0.7200401696049988,1.0
baseline_original,7,True,0.5,13,0.6696058642303198,0.7740390519464571,0.7180451127819549,1.0
sin_temporales,7,True,0.5,10,0.6790479624954923,0.6937246714969912,0.6863078605272749,1.0
